COUNTRY,2020,2021,2022,2023,2024,Trend (%) 2020 -  2024,Perub (%) 2024 -  2023,Peran (%) 2024,Jan-Mei,Jan-Mei.1,Perub (%) 2025/  2024,Peran (%) 2025
ARMENIA,0.9,2,3.7,7.7,9.8,82.88,27.26,0,2.1,8,274.15,0.01
CUBA,4.7,12.5,3,8.2,9.4,9.98,14.91,0,3,1.7,-42.23,0
BARBADOS,3.8,3,4.3,7,7.7,25.38,11.14,0,3.4,2.7,-21.04,0
SEYCHELLES,3.3,3,3.7,5.5,7.7,25.72,39.25,0,2.7,1.7,-36.41,0
BOLIVIA,17,21.6,19.2,13.2,7.5,-19.23,-43.62,0,4.3,1.7,-59.6,0
BAHAMAS,1.6,2,3.6,7.5,7.4,54.71,-0.46,0,3.1,4,26.95,0
NIGER,3.6,4.8,8.1,9.2,7.4,22.76,-19.71,0,3.3,0.1,-96.43,0
NEW CALEDONIA,14.6,12.2,13.7,10,7.1,-15.07,-28.77,0,3.6,3.4,-6.21,0
MARSHALL ISLANDS,4.4,1.4,17.6,11.8,6.6,34.08,-43.82,0,4.4,3.3,-24.24,0
AFGHANISTAN,21.4,15,12.9,5.1,6.3,-29.82,22.47,0,1.6,3.6,124.41,0
ARUBA,1.2,0.8,1.9,4.5,6.1,63.85,34.85,0,2.6,3.6,36.34,0
TONGA,4.3,6,4,7.6,5.9,9.27,-22.47,0,2,1.7,-11.6,0
GUADELOUPE,5.1,6.3,8.1,6.6,5.9,3.43,-10.56,0,1.9,3.2,64.88,0
UGANDA,3.9,5.5,15.3,16.9,5.5,20,-67.14,0,1.7,9.7,461.42,0.01
SURINAME,5.7,4.1,5.7,5.4,5.3,1.16,-2.9,0,2.4,2.4,-0.47,0
MARTINIQUE,2.5,4.1,4.9,3.8,5,14.25,32.61,0,2.1,1.7,-22.11,0
TURKMENISTAN,2.8,1.5,4,4.1,4.4,20.39,7.45,0,1.5,2.5,70.32,0
KIRIBATI,2.6,4.5,3,3.6,4.3,8.24,19.65,0,1.7,1.8,10.65,0
ANTIGUA AND BARBUDA,0.7,1.4,2.8,3.9,4.2,59.01,7.63,0,1,0.9,-13.87,0
BERMUDA,0.9,1.6,1.7,2.8,4.1,42.81,45.02,0,1.5,1.7,15.5,0
SAINT LUCIA,1.2,1.5,3.5,5.1,4.1,45.78,-19.67,0,1.8,1.5,-15.7,0
COMOROS,4.3,4.8,5.5,3,4.1,-6.02,37.9,0,2.3,1.8,-21.05,0
GUYANA,2.5,3.8,4.7,4.4,4,11.23,-9.31,0,1.1,2.3,106.56,0
AMERICAN SAMOA,2.4,3.8,1.7,1.9,3.9,3.19,103.37,0,1.4,3.5,145.79,0
MACEDONIA,2.5,2.8,10.7,3.1,3.9,10.6,26.42,0,1.8,1.9,5.46,0
AZERBAIJAN,3.6,6,3.6,4.9,3.8,-1.01,-22.11,0,1.9,1.6,-16.57,0
DOMINICA,1.8,2.9,13.5,34.8,3.4,45.65,-90.09,0,1,2.4,155.4,0
MACAO,1.2,7.5,3.1,2.8,3.4,12.77,21.3,0,1.3,2.8,109.13,0
MALAWI,12.2,8.8,10.8,3,3.2,-31.2,6.29,0,1.4,1.2,-9.37,0
ZAMBIA,1.6,1.4,3.4,8.1,3.2,38.1,-60.48,0,1.6,0.9,-46.43,0
MAYOTTE,2.2,1.7,3.3,3.3,3.1,14.9,-4.7,0,1.4,1.9,37.13,0
MONACO,0.1,1.8,5.2,2.8,2.9,89.9,2.46,0,0.8,0.9,20.26,0
KYRGYZSTAN,1.3,1.9,2.3,6.5,2.8,31.88,-57.28,0,1.3,1,-20.95,0
GRENADA,0.6,0.7,1.3,3,2.6,55.28,-12.99,0,1.2,0.7,-39.22,0
GUAM,0.7,0.9,1,0.9,2.6,30.36,181.97,0,2.1,0.4,-80.11,0
ESWATINI,2.5,2.1,4,3.1,2.5,3.54,-16.79,0,0.5,0.9,87.87,0
ZIMBABWE,2.7,4.2,5.7,5.2,2.4,-0.77,-54.09,0,2.1,0.3,-86.1,0
MONTENEGRO,3.5,4.4,3.8,1.7,2.3,-15.96,36.05,0,1.1,1.7,52.34,0
NAMIBIA,1.4,1.1,5.1,9.7,2.1,35.97,-77.78,0,0.7,1.4,81.41,0
CHAD,1,0.2,1.6,2,2.1,45.53,2.81,0,1.2,0,-97.17,0
CAYMAN ISLANDS,0.7,1.1,1.1,2.1,2.1,33.29,-0.89,0,0.9,9.2,875.53,0.01
CENTRAL AFRICAN REPUBLIC,2.3,2.1,2.9,2.4,1.9,-1.86,-19.02,0,0.7,0,-99.97,0
SAINT KITTS AND NEVIS,0.3,0.5,0.8,2.4,1.9,67.27,-24.35,0,0.6,0.7,9.69,0
TAJIKISTAN,0.5,1.7,3.1,1.1,1.6,22.42,47.62,0,0.6,1,63.44,0
TURKS AND CAICOS ISLANDS,0.5,0.2,0.9,1,1.6,49.61,57.1,0,0.1,0.4,511.33,0
"MICRONESIA, FEDERATED STATES OF",1.2,1.5,1.2,1.1,1.5,1.42,40.08,0,0.3,0.6,72.53,0
SINT MAARTEN (DUTCH PART),0,0,0,0,1.3,0,0,0,0.1,2.4,3546.03,0
BELIZE,0.7,0.7,0.6,0.5,1.2,6.11,123.32,0,0.4,0.3,-38.22,0
SAN MARINO,0,0,0,0,1.1,0,0,0,0,0,0,0
"PALESTINE, STATE OF",2,0.4,0.8,2.4,1.1,7.68,-53.77,0,1,0.6,-45.98,0
SAINT VINCENT AND THE GRENADINES,0.3,0.2,0.4,4.3,1,74.57,-76.92,0,0.2,0.2,12.6,0
MOLDOVA,0.6,0.4,0.3,0.5,0.9,11.96,67.9,0,0.5,0.3,-44.49,0
BOSNIA AND HERZEGOVINA,1,0.7,1,0.9,0.9,-0.27,-2.46,0,0.1,1.1,838.26,0
CABO VERDE,0.6,0.7,0.8,0.8,0.9,9.35,11.78,0,0.3,0.2,-11.65,0
PALAU,0.2,0.6,0.4,0.8,0.7,31.1,-8.58,0,0.2,3.7,1852.04,0
NAURU,0.6,0.5,0.7,0.5,0.6,0.79,32.79,0,0.2,0.3,11.87,0
COOK ISLANDS,0.8,0.7,0.6,0.8,0.6,-3.51,-25.61,0,0.2,0.3,13.5,0
GUINEA-BISSAU,0.6,0.4,0.2,2.1,0.6,17.97,-72.28,0,0.2,0.3,92.78,0
BOTSWANA,0.4,0.1,3.9,0.5,0.6,22.18,9.57,0,0,0.4,1270.8,0
BURUNDI,0.4,0.6,0.6,1.2,0.5,17.18,-55.67,0,0.2,0,0,0
ERITREA,0.6,0,0.4,0.3,0.5,0,103.91,0,0.4,0.1,-72.95,0
CURAÇAO,0,0.1,0.1,0.1,0.5,64.48,242.05,0,0.2,0.6,250.84,0
FRENCH GUIANA,0.4,0.5,0.8,0.7,0.5,5.84,-24.29,0,0.3,0.2,-30.22,0
RWANDA,0.8,0.6,0.5,1.4,0.4,-4.25,-67.87,0,0.3,0.5,115.68,0
SAO TOME AND PRINCIPE,1.4,1.8,1.7,1,0.4,-26.71,-60.07,0,0.1,0.1,43.79,0
NORTHERN MARIANA ISLANDS,0.5,0.5,0.4,0.5,0.4,-8.23,-22.2,0,0.1,0.2,76.19,0
"VIRGIN ISLANDS, BRITISH",1.1,0.5,0.6,5.7,0.3,-3.13,-94.79,0,0.1,0.2,56.24,0
BHUTAN,1,0.1,67.5,8.5,0.2,16.6,-97.54,0,0,0.1,155.71,0
SOUTH SUDAN,0,0,0,0,0.2,0,0,0,0.1,0.1,118.87,0
WALLIS AND FUTUNA,0.1,0.5,0.5,0.2,0.2,-3.01,-12.34,0,0,0.1,80.99,0
ANGUILLA,0,0.1,0,0.1,0.2,43.99,55.67,0,0,0,0,0
ANDORRA,0,0.2,0.2,0,0.2,10.55,225.4,0,0,0,-88.54,0
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",0,0,0,0,0.1,7.41,2634.89,0,0,0,0,0
LIECHTENSTEIN,0,0,0.3,0.4,0.1,223.82,-64.31,0,0,0,0,0
FAROE ISLANDS,0,0.1,0,0,0.1,0,47152.53,0,0,0.3,0,0
TUVALU,1.7,0.1,0.1,0.5,0.1,-34.26,-83.3,0,0,0.1,37.9,0
NORTH KOREA,0,0.1,0,0.2,0.1,166.18,-63.07,0,0,0.1,1113.51,0
ANTARCTICA,0,0,0,0.1,0,0,-78.27,0,0,0,0,0
SAINT BARTHÉLEMY,0,0,0,0,0,0,1289.71,0,0,0,-1.95,0
GREENLAND,0.1,0,0.1,0.1,0,-24.53,-59.91,0,0,0.1,0,0
NORFOLK ISLAND,0,0,0,0,0,0,-11,0,0,0.1,0,0
GIBRALTAR,0.1,1.3,0,0,0,-58.35,-34.72,0,0,0,-99.44,0
SAINT MARTIN (FRENCH PART),0,0,0,0,0,0,0,0,0,0,0,0
CHRISTMAS ISLAND,0,0,0,0,0,0,-51.08,0,0,0,196.99,0
GUERNSEY,0,0,0,0,0,-3.59,166.31,0,0,0,0,0
JERSEY,0,0,0,0,0,0,686.82,0,0,0,-47.54,0
LESOTHO,0.2,0,0,0,0,0,0,0,0,0,23498.51,0
TOKELAU,0,0,0.1,0,0,0,-99.88,0,0,0,0,0
OTHER WESTERN ASIA,0,0,0,0,0,0,0,0,0,0,0,0
FRENCH SOUTHERN TERRITORIES,0,0,0,0,0,0,0,0,0,0,0,0
SAINT PIERRE AND MIQUELON,0,0,0,0,0,0,0,0,0,0,0,0
INDONESIA (BATAM),0,0,0,0,0,0,0,0,0,0,0,0
VATICAN CITY STATE,0,0,0,0,0,0,0,0,0,0,0,0
OTHER CENTRAL & SOUTH AMERICA,0,0,0,0,0,0,0,0,0,0,0,0
OTHER OCEANIA,0,0,0,0,0,0,0,0,0,0,0,0
ISLE OF MAN,0,0,0,0,0,0,0,0,0,0,0,0
HEARD ISLAND AND MCDONALD ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0
FALKLAND ISLANDS (MALVINAS),0,0,0,0,0,0,0,0,0,0,0,0
OTHER NORTH AMERICA,0,0,0,0,0,0,0,0,0,0,0,0
COCOS (KEELING) ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0
BOUVET ISLAND,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0
MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0
PITCAIRN,0,0.1,0,0,0,0,0,0,0,0,0,0
OTHER SOUTH & SOUTHEAST ASIA,0,0,0,0,0,0,0,0,0,0,0,0
ZAIRE,0,0,0,0,0,0,0,0,0,0,0,0
ADEN,0,0,0,0,0,0,0,0,0,0,0,0
SVALBARD AND JAN MAYEN,0,0,0,0,0,0,0,0,0,0,0,0
OTHER WESTERN EUROPE,0,0,0,0,0,0,0,0,0,0,0,0
U.S. MINOR OUTLYING ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0
BRITISH INDIAN OCEAN TERRITORY,0,0,0.5,0,0,0,0,0,0,0,0,0
OTHER AFRICA,0,0,0,0,0,0,0,0,0,0,0,0
ÅLAND ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0
NIUE,0,0,0,0,0,0,0,0,0,0,0,0
OTHER EAST ASIA,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN SAHARA,0,0,0,0,0,0,0,0,0,0,0,0
KOSOVO,0,0,0,0,0,0,0,0,0,0.4,0,0
"BONAIRE, SINT EUSTATIUS AND SABA",0,0,0,0,0,0,0,0,0,0.3,0,0
